"Jméno";"IČ";"DIČ";"Mobilní telefon";"Telefon do práce";"Banka";"Osoba";"Země";"Kraj";"Město";"PSČ";"Ulice";"Číslo účtu";"Var. symbol";"Skupina";"Poznámka"
"Město Žirovnice";"00249505";"";"732 272 050";"";"";"Musilová Ivana";"Česká republika";"Jihočeský";"Žirovnice";"394 68";"Cholunská 665";"";"";"Městské a obecní úřady";""
"Vačkářová Lucie";"???";"";"???";"";"";"Vačkářová Lucie";"Česká republika";"Středočeský";"Praha ";"110 00";"????";"";"";"Agentury";""
"Komedianti na káře";"45493588";"";"603 845 270";"";"";"Jindra Holeček";"Česká republika";"Jihomoravský";"Jiřice u Miroslavi";"671 78";"Jiřice u Miroslavi";"";"";"Agentury";""
"Kulturní služby města Moravská Třebová";"371769";"";"731 151 801";"";"";"Martina Řezníčková";"Česká republika";"Východočeský";"Moravská Třebová";"571 01";"Svitavská 18";"";"";"Divadla,Kulturní zařízení";""
"Město Benešov";"00231401";"";"???";"";"";"";"Česká republika";"";"Benešov";"256 01";"";"";"";"Městské a obecní úřady";""
"Město Jílové u Prahy";"00241326";"";"???";"";"";"Ilona Strnadová";"";"Středočeský";"Jílové";"407 01 ";"Masarykovo náměswtí";"";"";"Městské a obecní úřady";""
"Obec Čížkovice";"00263486";"";"602 150 939";"";"";"Jana Svitáková";"";"Severočeský";"Čížkovice";"411 12";"Kd";"";"";"Městské a obecní úřady";""
"Městská část Praha 6";"00063703";"";"602 122 765";"";"";"";"Česká republika";"Středočeský";"Praha ";"110 00";"Š.armády 23";"";"";"Městské a obecní úřady";""
"CHOPOS, s.o.";"69000948";"";"723 881 081";"";"";"";"Česká republika";"Středočeský";"Chotýčany";"373 62";"54, 25728 Chotýšany";"";"";"Agentury";""
"Kulturní a informační centrum města Velešín";"71184198";"";"607 806 439";"";"";"";"Česká republika";"Jihočeský";"Velešín";"382 32";"Družstevní 596";"";"";"Divadla,Kulturní zařízení";""
"Art service Vladimíra Štěpánková";"???";"";"607 289 599";"";"";"Vladimíra Štěpánková";"Česká republika";"Jihočeský";"Horní Planá";"382 26";"Dobrovodská 79";"";"";"Agentury";""
"Téčko, příspěvková organizace";"44740743";"";"777 134 977";"";"";"Vyacheslav Nechunaev";"Česká republika";"Severomoravský";"Rožnov pod Radhoštěm";"756 61";"1. máje 1000";"";"";"Agentury";""
"Divadlo pod Čarou";"70516448";"";"774 598 315";"";"";"Pokorný Miroslav";"Česká republika";"";"Písek";"397 01";"";"";"";"Divadla,Kulturní zařízení";""
"KCHK";"";"";"603 414 575";"";"";"Josef Dvořáček";"Česká republika";"Jihomoravský";"Pozořice";"664 07";"Sivice 308";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Základní škola Vlachovo Březí";"";"";"";"";"";"";"";"";"Vlachovo Březí";"384 22";"";"";"";"";""
"Divadlo Palace";"";"";"";"";"";"";"";"";"Praha ";"110 00";"";"";"";"Divadla,Kulturní zařízení";""
"Kašpárek Ondra";"";"";"???";"";"";"Kašpárek Ondra";"Česká republika";"Jihočeský";"Úsilné";"370 10";"Úsilné 20";"";"";"Soukromé osoby";""
"KD Beseda";"00246433";"";"???";"";"";"Iva Stolová";"Česká republika";"Jihočeský";"České Velenice";"378 10";"Vitorazská 77";"";"";"Agentury";""
"Zš Postupice";"70892598";"";"???";"";"";"Ottová Miroslava";"Česká republika";"Středoslovenský";"Postupice";"257 01";"Školní 153";"";"";"Školy";""
"Kulturní dům Klubka";"48133566";"";"???";"";"";"Jitka Rybková";"Česká republika";"Středočeský";"Praha ";"110 00";"Květnového vítězství 2126";"";"";"Divadla,Kulturní zařízení";""
"Měks Jaroměř";"13585185";"";"???";"";"";"";"Česká republika";"Východočeský";"Jaroměř";"551 01";"Nám.Dukelských hrdinů";"";"";"Divadla,Kulturní zařízení";""
"Město Vamberk";"00275492";"";"???";"";"";"Freivaldová Zdeňka";"Česká republika";"Východočeský";"Vamberk";"517 54";"Taršova 18";"";"";"Městské a obecní úřady";""
"Novoměstská kulturní zařízení";"00372854";"";"???";"";"";"";"Česká republika";"Východočeský";"Nové Město na Moravě";"592 31";"Tyršova 1001";"";"";"Divadla,Kulturní zařízení";""
"Městské kulturní středisko v Kynšperku nad Ohří";"00368636";"";"607 581 073";"";"";"Bašková Hana";"";"";"Kynšperk nad Ohří";"357 51";"náměstí SNP 389";"";"";"Divadla,Kulturní zařízení";""
"Sdružení Telepace z.s.";"69610584";"";"???";"";"";"Prais Karel";"Česká republika";"Severomoravský";"Ostrava";"729 29 ";"Kostelní náměstí 1839/2";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Město Nechanice";"00269191";"";"???";"";"";"";"Česká republika";"Jihomoravský";"Nechanice";"503 15";"Husovo nám. 83";"";"";"Městské a obecní úřady";""
"Městské kulturní středisko Holešov, příspěvková";"00486639";"";"???";"";"";"";"Česká republika";"Severomoravský";"Holešov";"769 01";"nám. F. X. Richtra 190";"";"";"Divadla,Kulturní zařízení";""
"Město Týn nad Vltavou";"00245585";"";"???";"";"";"";"Česká republika";"Jihočeský";"Týn nad Vltavou ";"375 01";"KD";"";"";"Městské a obecní úřady";""
"Dřínek Karel";"???";"";"???";"";"";"Dřínek Karel";"Česká republika";"Jihočeský";"Hosín";"373 41";"Hosín";"";"";"Agentury";""
"Základní škola a Mateřská škola Křemže";"00583707";"";"???";"";"";"";"Česká republika";"Jihočeský";"Křemže";"382 03";"Školní 182";"";"";"Školy";""
"1. základní škola Plzeň, Západní 18, příspěvková organizace";"64354547";"";"777 036 704";"";"";"";"Česká republika";"Západočeský";"Plzeň";"301 00";"Západní 18";"";"";"Agentury";""
"Historické městečko Křížov, o.p.s.";"26827409";"";"???";"";"";"";"Česká republika";"Středočeský";"Praha ";"110 00";"Na bitevní pláni 1214/21";"";"";"Agentury";""
"Mateřská škola, Základní škola a Praktická škola při centru ARPIDA, o.p.s.";"25167201";"";"777 170 804";"";"";"Petra Coufalová";"Česká republika";"Jihočeský";"České Budějovice";"370 01";"U Hvízdala 1402/9";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Mateřská škola Hluboká nad Vltavou";"75000181";"";"777 003 435";"";"";"Podlahová Pavla";"Česká republika";"";"Hluboká nad Vltavou";"373 41";"";"";"";"Školy";""
"Dům kultury Střelnice Rumburk p.o.,";"00830682";"";"???";"";"";"Motlová Božena";"Česká republika";"Severočeský";"Rumburk";"408 01";"SNP 484/29";"";"";"Divadla,Kulturní zařízení";""
"Spolek přátel OMČR";"49295225";"";"736145354";"";"";"Marcela Beranová";"Česká republika";"Severočeský";"Turnov";"511 01";"Skálová 71";"";"";"Agentury";""
"Toulcův dvůr, z.s.";"62934171";"";"773 724 941";"";"";"Lenka Karlíková";"Česká republika";"Středočeský";"Praha ";"110 00";"Kubatova 32/1";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Lukáš Wisla";"";"";"728 918 067";"";"";"Lukáš Wisla";"Česká republika";"Středočeský";"Praha ";"110 00";"???";"";"";"Agentury";""
"Agentura Evita";"66380669";"";"603472087";"";"";"Janoušová Eva";"Česká republika";"Západočeský";"Plzeň";"301 00";"Prostřední 46";"";"";"Agentury";""
"Obec Hvězdonice";"00231819";"";"724 188 063";"";"";"Alexandra Beňařová";"Česká republika";"Středočeský";"Hvězdonice";"257 24";"Hvězdonice 56";"";"";"Městské a obecní úřady";""
"International Police Association - sekce Česká republika z.s.";"18235395";"";"605 068 546";"";"";"Vladimír Novotný";"Česká republika";"Středočeský";"Praha ";"110 00";"Elišky Přemyslovny 1259";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Tschechisches Zentrum-CzechPoint";"???";"";"???";"";"";"Christina Frankenberg";"Německo";"";"Berlín";"";"Friedrichstrase 206";"";"";"Agentury";""
"GAPA";"60637064";"";"777639833";"";"";"Roman Zaiml";"Česká republika";"Jihočeský";"České Budějovice";"370 01";"Dukelská 10";"";"";"Agentury";""
"ZÁŠKOLÁK, z.s.";"26672553";"";"???";"";"";"";"Česká republika";"Středočeský";"Postupice";"257 01";"školní 153";"";"";"Školy";""
"Základní škola a Mateřská škola Osov, okres Beroun";"71001549";"";"607 773 172";"";"";"Ivana Chocholoušová";"Česká republika";"Středočeský";"Osov";"267 25";"Osov 93";"";"";"Školy";""
"ČESKO-ANGLICKÉ GYMNÁZIUM S.R.O.";"63908352.";"";"???";"";"";"Jan Samohýl";"Česká republika";"Jihočeský";"České Budějovice";"370 01";"Třebízského 1010";"";"";"Školy";""
"Zš Úvaly";"00874817";"";"605 725 365";"";"";"Veronika Lancová";"Česká republika";"Středočeský";"Úvaly";"250 82";"Nám.A.Z.Pardubic";"";"";"Školy";""
"Církev československá husitská";"00445185";"";"???";"";"";"";"Česká republika";"Středočeský";"Praha ";"110 00";"Wuchterlova 523/5";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Art servis";"45050767";"";"607 289 598";"";"";"";"Česká republika";"Jihočeský";"Horní Planá";"382 26";"";"";"";"Agentury";""
"Obec Bílovice nad Svitavou";"00281581";"";"777 624 063";"";"";"Ivana Novotná";"Česká republika";"Jihomoravský";"Obec Bílovice nad Svitavou";"66401";"Těsnohlídkovo náměstí 1000";"";"";"Městské a obecní úřady";""
"My Imaginarium, s.r.o.";"19982186";"";"603 996 926";"";"";"Michal Palánek";"Česká republika";"Východočeský";"Hradec Králové";"500 02";"Na Brně 2136/4";"";"";"Agentury";""
"Obec Pěčice";"00243001";"";"777 986 713";"";"";"Iva Svárovská";"Česká republika";"Severočeský";"Pěčice";"26232";"Pečice 101";"";"";"Městské a obecní úřady";""
"Mateřské centrum Domeček Luka nad Jihlavou, z.s.";"22854681";"";"723 830 888";"";"";"Blanka Kovářová";"Česká republika";"Východočeský";"Luka nad Jihlavou";"588 22";"Lidická 811";"";"";"Agentury";""
"Náboženská obec Církve československé husitské v Litomyšli";"64209628";"";"724 704 977";"";"";"Klásek Štěpán";"Česká republika";"Východočeský";"Litomyšl";"570 01";"Toulovcovo nám. 151";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Budweis Group s.r.o.";"22631062";"";"777 667 251";"";"";"";"Česká republika";"";"České Budějovice";"370 01";"";"";"";"Agentury";""
"Pragosound s.r.o.";"27390462";"";"";"";"";"";"Česká republika";"Středočeský";"Praha ";"110 00";"Radčina 523/16";"";"";"Agentury";""
"Yellow Pro, s. r. o.";"03746674";"";"732 425 821";"";"";"Petra Nováková";"Česká republika";"Severomoravský";"Ostrava";"729 29 ";"Antonína Poledníka 3/6";"";"";"Agentury";""
"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Městys Nové Dvory";"00236276";"";"725 783 962";"";"";"Lenka Najjar";"Česká republika";"Severočeský";"Nové Dvory";"28531";"Masarykovo nám. 11";"";"";"Městské a obecní úřady";""
"Divadlo kejklíře Slávka";"";"CZ8706104363";"777 134 977";"";"";"Vyacheslav Nechunaev";"Česká republika";"Jihočeský";"Mazelov";"373 63";"Mazelov 100";"";"";"Agentury";""
"Skupina historického šermu GRÁL";"62159224";"";"737 201 436";"";"";"Libor Trojan";"Česká republika";"Jihomoravský";"Cidlina";"675 44";"Cidlina 55";"";"";"Agentury";""
"Karlovarské hudební divadlo";"49759302";"";"???";"";"";"";"Česká republika";"";"Karlovy Vary";"360 01";"";"";"";"";""
"Markéta Šlachtová";"";"";"???";"";"";"Šlachtová Markéta";"Česká republika";"";"České Budějovice";"370 01";"";"";"";"";""
"Oblastní charita Červený Kostelec";"48623814";"";"???";"";"";"Dostálová Romana";"Česká republika";"Středočeský";"Červený Kostelec";"549 41";"5.května 1170";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Kulturní středisko města Bechyně";"00366919";"";"776 381 203";"";"";"Květa Dopitová";"Česká republika";"Jihočeský";"Bechyně";"391 65";"U Nádraží 602";"";"";"Divadla,Kulturní zařízení";""
"DDM Jindřichův Hradec";"42409152";"";"602 161 031";"";"";"Vladimír Prokýšek";"Česká republika";"Jihočeský";"Dolní Radíkov";"380 01";"Růžová 10";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Městys Staré Město pod Landštejnem";"00247499";"";"???";"";"";"Sochorný František";"Česká republika";"Jihočeský";"Staré Město pod Landštejnem";"378 81 ";"Staré Město pod Landštejnem 19";"";"";"Městské a obecní úřady";""
"SUD";"26616271";"";"???";"";"";"";"Česká republika";"Jihočeský";"České Budějovice";"370 01";"Hroznová 8";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Ludvík Moravia s.r.o.";"60318571";"";"777 798 354";"";"";"Cachnin Jiří";"Česká republika";"Severomoravský";"Kopřivnice";"742 21";"Sokolovská 404";"";"";"Agentury";""
"Togethr gottreid voneimem";"";"";"???";"";"";"Elizabet Springer";"Rakousko";"";"Litschau";"3874";"Listschau A-3774";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Kulturní dům Strážničan ve Strážnici, příspěvková organizace";"00637912";"";"731 101 318";"";"";"Lenka Žáková";"Česká republika";"Jihomoravský";"Strážnice";"696 62";"Veselská 1321";"";"";"Dramaturg";""
"Semenec, o.p.s.";"60074779";"";"604 626 894";"";"";"Barbora Šímová";"Česká republika";"Jihočeský";"Týn nad Vltavou ";"375 01";"Přírodovědné muzeum Semenec";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Město Holíč";"00309541";"";"421 904 491 184";"";"";"";"Slovensko";"";"Holíč";"908 51";"";"";"";"Městské a obecní úřady";""
"Společnost pro obnovu synagogy ve Čkyni, o.p.s.";"26084775";"";"721 507 451";"";"";"Zdeňka Škopková";"Česká republika";"Jihočeský";"Čkyně";"384 81";"Čkyně 105";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Město Kostelec nad Orlicí";"274968";"";"736 260 300";"";"";"Miluše Černohousová";"Česká republika";"Východočeský";"Kostelec nad Orlicí";"517 41";"Palackého náměstí 38";"";"";"Městské a obecní úřady";""
"Way of Music s.r.o.";"26097664";"";"603 467 649";"";"";"Pavel Černý";"Česká republika";"Jihočeský";"České Budějovice";"370 01";"Na Sadech 2039/15";"";"";"Agentury";""
"Centrum volného času Hustopeče, příspěvková organizace";"71200398";"";"775 095 525";"";"";"Martina Ondrová";"Česká republika";"Jihomoravský";"Hustopeče";"693 01";"Šafaříkova 1017/40";"";"";"Divadla,Kulturní zařízení";""
"Městys Zápy";"00472051";"";"732 311 107";"";"";"Burdová Hana";"Česká republika";"Středočeský";"Zápy";"250 01";"Zápy 7";"";"";"Městské a obecní úřady";""
"Základní škola, Praha 10, Hostýnská 2100/2, příspěvková organizace";"47611171";"";"???";"";"";"Marie Kadlecová";"Česká republika";"Středočeský";"Praha ";"110 00";"Hostýnská 2100/2";"";"";"Školy";""
"Umělecká agentura Petr Barvík";"64295621";"";"602 337 435";"";"";"Petr Barvík";"Česká republika";"Jihočeský";"Český Krumlov";"381 01";"???";"";"";"Agentury";""
"Město Rudolfov";"???";"";"???";"";"";"Hana Měšťanová";"Česká republika";"Jihočeský";"Rudolfov";"373 71";"???";"";"";"Městské a obecní úřady";""
"Společnost přátel Děčína - Amici Decini, z.s.";"14866501";"";"605 960 520";"";"";"Markéta Lakomá";"Česká republika";"Středočeský";"Děčín";"405 02";"Křížová 435/9,";"";"";"Agentury";""
"KLUBCENTRUM v Ústí nad Orlicí";"00485195";"";"???";"";"";"Zelínková Eva";"Česká republika";"Východočeský";"Ústí nad Orlicí";"562 01";"Lochmanova 1400";"";"";"Divadla,Kulturní zařízení";""
"HAPPY END Production, s.r.o.";"25727966";"";"???";"";"";"";"Česká republika";"";"Praha ";"110 00";"";"";"";"Agentury";""
"Zš Neplachov";"";"";"???";"";"";"";"Česká republika";"Jihočeský";"Neplachov";"7365";"";"";"";"Školy";""
"Zš+Mš Hosín";"75000695";"";"733 421 600";"";"";"Radka Lhotková";"Česká republika";"Jihočeský";"Hosín";"373 41";"Hosín 41";"";"";"Školy";""
"K.A.R";"00847712";"";"???";"";"";"Zdenka Mertlová";"Česká republika";"Severomoravský";"Bohumín";"735 81";"Studentská 781";"";"";"Agentury";""
"Základní škola MOZAIKA, o.p.s. Rychnov n/Kn.";"25918125";"";"???";"";"";"Kamila Zemanová";"Česká republika";"Východočeský";"Rychnov nad Kněžnou";"516 01";"U stadionu 1166";"";"";"Školy";""
"Gymnázium Františka Martina Pelca";"60584703";"";"???";"";"";"Zdeněk Žabokrstský";"";"Východočeský";"Rychnov nad Kněžnou";"516 01";"Hrdinů odboje 36";"";"";"Školy";""
"Mateřská škola Kytička";"70188521";"";"???";"";"";"???";"";"";"Rychnov nad Kněžnou";"516 01";"Boženy Němcové 648";"";"";"Školy";""
"Dům dětí a mládeže, Rychnov nad Kněžnou";"71235698";"";"???";"";"";"";"Česká republika";"Východočeský";"Rychnov nad Kněžnou";"516 01";"Poláčkovo náměstí 88";"";"";"Divadla,Kulturní zařízení";""
"Obec Valašská Bystřice";"00304352";"";"725 611 737";"";"";"";"Česká republika";"";"Valašská Bystřice";"756 27";"";"";"";"Městské a obecní úřady";""
"Město Planá nad Lužnicí";"00252654";"";"737 422 830";"";"";"Jana Kalinová";"Česká republika";"Jihočeský";"Planá nad Lužnicí";"391 11";"Zákostelní 720";"";"";"Městské a obecní úřady";""
"Obec Prostředni Bečva";"304221";"";"603 226 170";"";"";"Alena Srovnalova";"Česká republika";"Severomoravský";"Prostřední Bečva";"75656";"Prostřední Bečva 272";"";"";"Městské a obecní úřady";""
"Krafferova zahrada z.s.";"11763086";"";"776 077 339";"";"";"Barbora Hauserová";"Česká republika";"Jihočeský";"Jindřichův Hradec";"377 01";"Krafferova zahrada";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Hluboká Baseball &amp; Softball Club s.r.o.";"28063627";"";"606 096 326";"";"";"";"Česká republika";"";"Hluboká nad Vltavou";"373 41";"";"";"";"Agentury";""
"Obec Pištín";"00581844";"";"724 188 855";"";"";"Jaroslav Havel";"Česká republika";"Jihočeský";"Pištín";"373 46";"Pištín 33";"";"";"Městské a obecní úřady";""
"HC Tábor";"60065249";"";"720 517 277";"";"";"Daniela Bambulová";"Česká republika";"Jihočeský";"Tábor";"390 15";"Václava Soumara 2300";"";"";"Agentury";""
"Město Strmilov";"247511";"";"???";"";"";"";"Česká republika";"Jihočeský";"Strmilov";"378 53";"Náměstí 60";"";"";"Městské a obecní úřady";""
"Zš Novohradská";"???";"";"???";"";"";"";"Česká republika";"";"České Budějovice";"370 01";"";"";"";"Školy";""
"International Police Association, sekce Česká republika z.s.,";"69100462";"";"605 068 546";"";"";"Novotný Vladimír";"Česká republika";"Jihočeský";"Slavonice";"378 81";"sídliště Svatopluka Čecha 94";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Chaloupky o.p.s. a lesní mateřská škola";"25557475";"";"731 440 924";"";"";"Jana Audy";"Česká republika";"Východočeský";"Velké Meziříčí";"594 01";"Kněžice 109";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Jaroslav Kounický";"???";"";"606 958 164";"";"";"Jaroslav Kounický";"Česká republika";"Severočeský";"Benešov nad Ploučnicí";"407 22";"nám Míru 42";"";"";"Agentury";""
"Jiří Wolf";"???";"";"???";"";"";"";"Česká republika";"";"Benešov nad Ploučnicí";"407 22";"";"";"";"Agentury";""
"Muzeum Velké Meziříčí";"00542903";"";"603 3054 802";"";"";"Marie Riperová";"Česká republika";"Východočeský";"Velké Meziříčí";"594 01";"Zámecké schody 1200/4";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Základní škola Volary, příspěvková organizace";"00583391";"";"???";"";"";"pí Pincová";"Česká republika";"Jihočeský";"Volary";"384 51";"U Nádraží 512";"";"";"Školy";""
"Červená Kumpanie";"66780551";"";"603 875 721";"";"";"Jaroslav Pelíšek";"Česká republika";"Severočeský";"Jemniště";"257 01";"Zámek Jemniště";"";"";"Agentury";""
"Wirth Jan";"";"";"731 402 882";"";"";"Wirth Jan";"Česká republika";"";"Klatovy";"339 01";"";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Obec Postupice";"232521";"";"???";"";"";"Miroslav Půta";"Česká republika";"Jihočeský";"Postupice";"257 01";"Školní 154";"";"";"Městské a obecní úřady";""
"Obec Kestřany";"00249742";"";"602 958 067";"";"";"Jiří Hladký";"Česká republika";"Jihočeský";"Kestřany";"398 21";"Kestřany 52";"";"";"Městské a obecní úřady";""
"Městské Tylovo divadlo v Kutné Hoře";"44696159";"";"731 408 517";"";"";"Michal Trnka";"Česká republika";"Středočeský";"Kutná Hora";"284 01";"Masarykova 128/10";"";"";"Divadla,Kulturní zařízení";""
"Dům kultury Trutnov";"653853";"";"605 514 212";"";"";"Zina Rýgrová";"Česká republika";"Severočeský";"Trutnov";"541 01";"Národní 199";"";"";"Divadla,Kulturní zařízení";""
"MĚSTO SVOBODA NAD ÚPOU";"00278335";"";"731 479 235";"";"";"Berrová Dagmar";"Česká republika";"Severočeský";"Svoboda nad Úpou";"542 24";"náměstí Svornost 474";"";"";"Městské a obecní úřady";""
"Sara events s.r.o.";"27138488";"";"???";"";"";"Janina Šlemínová";"Česká republika";"Severočeský";"Praha ";"110 00";"Dlouhá 46/720";"";"";"Agentury";""
"Lucie Kulhavá";"???";"";"???";"";"";"Lucie Kulhavá";"Česká republika";"Středočeský";"Praha ";"110 00";"Markova 573/30";"";"";"Agentury";""
"Zdeněk Bok Kapitán JH s.r.o.";"???";"";"728 538 887";"";"";"";"Česká republika";"";"Jindřichův Hradec";"377 01";"";"";"";"";""
"Sdružení pro tvořivou dramatiku";"???";"";"???";"";"";"";"Česká republika";"";"Praha ";"110 00";"";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Městys Suchdol nad Odrou";"00298450";"";"737 127 011";"";"";"";"Česká republika";"";"Suchdol nad Odrou";"742 01";"";"";"";"Divadla,Kulturní zařízení";""
"Městské kulturní středisko Javorník";"64095541";"";"604 415 950";"";"";"Polášková Hana";"Česká republika";"Severomoravský";"Javorník";"790 70";"Nádražní 160";"";"";"Divadla,Kulturní zařízení";""
"Studio dell-arte";"???";"";"???";"";"";"";"Česká republika";"";"České Budějovice";"370 01";"";"";"";"Agentury";""
"SAP";"";"";"";"";"";"";"Česká republika";"";"";"";"";"";"";"";""
"Město Vítkov";"00300870";"";"???";"";"";"";"Česká republika";"";"Vítkov";"749 01";"";"";"";"Městské a obecní úřady";""
"Stálá divadelní scéna Klatovy, příspěvková organizace	Stálá divadelní scéna Klatovy, příspěvková organizace";"075094";"";"???";"";"";"";"Česká republika";"Jihočeský";"Klatovy";"339 01";"Divadelní 148";"";"";"Divadla,Kulturní zařízení";""
